device,backend,model_id,precision,n,success_rate,mean_load_sec,mean_infer_sec,p50_infer_sec,mean_latency_sec,mean_rtf,p50_rtf,mean_WER,mean_CER,rank_score_fair,rank_score_realtime
cpu,faster_whisper,openai/whisper-base,int8,36,1.0,0.09730534615098602,1.481251918219237,0.8369114338420331,1.5785572643702228,0.2849330710650339,0.18572488272758692,0.9371753648927563,0.46773150601896696,469.2127579371862,285.4008025710529
cpu,faster_whisper,openai/whisper-large-v3,int8,36,1.0,3.084672375814989,11.246231147269201,10.809593169949949,14.33090352308419,2.2227595014910673,2.248604693202848,0.38216027199627506,0.13789449706867615,149.14072821594536,2222.897395988136
cpu,faster_whisper,openai/whisper-medium,int8,36,1.0,0.08037931720415752,5.659139742246932,5.47126932349056,5.73951905945109,1.124301663916049,1.114435890756233,0.4957257375926331,0.1897796882385107,195.43882798075765,1124.4914436042875
cpu,faster_whisper,openai/whisper-small,int8,36,1.0,0.03287969527041747,2.1068885911307813,2.0403798152692616,2.139768286401199,0.4183677851344526,0.42670577010640043,0.7413936135904099,0.31095744467960196,313.06433327073273,418.67874257913223
cpu,faster_whisper,openai/whisper-tiny,int8,36,1.0,0.25458130263723433,2.9060680833645165,2.886185228358954,3.160649386001751,0.543249847754296,0.5338563219840198,1.0405355312964009,0.5626423580915549,565.5484261749194,543.8124901123875
cpu,transformers_whisper,openai/whisper-base,fp32,36,1.0,0.876399680170127,1.5863722239155322,1.392041392158717,2.4627719040856593,0.30291814435774383,0.3081043353368942,0.9496155481662727,0.46895768650126374,470.5440587251793,303.38710204424507
cpu,transformers_whisper,openai/whisper-large-v3,fp32,36,1.0,0.21796045444595316,22.944263698170996,21.10848982166499,23.16222415261695,4.380495368383465,4.312896030477267,0.39352270183696575,0.1424264319428976,165.3706956410686,4380.637794815408
cpu,transformers_whisper,openai/whisper-medium,fp32,36,1.0,0.4758458357149114,8.912118959369966,8.119972478132695,9.387964795084876,1.7129870163295342,1.663006669553895,0.48026193232142883,0.18820940110520207,197.12152006457202,1713.1752257306396
cpu,transformers_whisper,openai/whisper-small,fp32,36,1.0,0.5787632309624718,3.8232753427388766,3.568466467782855,4.402038573701349,0.7339755595611831,0.7409822167202934,0.7173892497309736,0.2962272183905331,300.050493733272,734.2717867795736
cpu,transformers_whisper,openai/whisper-tiny,fp32,36,1.0,1.2609956348314881,1.0136852104009852,0.8383573214523494,2.2746808452324734,0.1913411149977196,0.19237534621686364,0.9858690607355748,0.5095652223303291,510.5789075407301,191.85068022004995
